Data;Ora solare;Livello Punta Salute (cm)
11-feb-98;6.00;-5
11-feb-98;7.00;11
11-feb-98;8.00;27
11-feb-98;9.00;43
11-feb-98;10.00;51
11-feb-98;11.00;48
11-feb-98;12.00;36
11-feb-98;13.00;16
11-feb-98;14.00;-7
11-feb-98;15.00;-28
11-feb-98;16.00;-45
11-feb-98;17.00;-53
11-feb-98;18.00;-45
11-feb-98;19.00;-28
11-feb-98;20.00;-1
11-feb-98;21.00;23
11-feb-98;22.00;39
11-feb-98;23.00;48
12-feb-98;0.00;51
12-feb-98;1.00;39
12-feb-98;2.00;22
12-feb-98;3.00;4
12-feb-98;4.00;-8
12-feb-98;5.00;-16
12-feb-98;6.00;-13
12-feb-98;7.00;-1
12-feb-98;8.00;16
12-feb-98;9.00;31
12-feb-98;10.00;43
12-feb-98;11.00;45
12-feb-98;12.00;40
12-feb-98;13.00;23
12-feb-98;14.00;3
12-feb-98;15.00;-18
12-feb-98;16.00;-37
12-feb-98;17.00;-47
12-feb-98;18.00;-48
12-feb-98;19.00;-33
12-feb-98;20.00;-11
12-feb-98;21.00;11
12-feb-98;22.00;31
12-feb-98;23.00;44
13-feb-98;0.00;48
13-feb-98;1.00;43
13-feb-98;2.00;25
13-feb-98;3.00;8
13-feb-98;4.00;-8
13-feb-98;5.00;-21
13-feb-98;6.00;-25
13-feb-98;7.00;-16
13-feb-98;8.00;-1
13-feb-98;9.00;17
13-feb-98;10.00;31
13-feb-98;11.00;38
13-feb-98;12.00;36
13-feb-98;13.00;24
13-feb-98;14.00;4
13-feb-98;15.00;-16
